device_name,sensor_type,timestamp,reading_value
projectA_60307052_60306981,temperature,2026-06-02 08:06:26.527088+00:00,33.980770111083984
projectA_60307052_60306981,temperature,2026-06-02 08:06:28.612019+00:00,33.962738037109375
projectA_60307052_60306981,temperature,2026-06-02 08:06:30.627218+00:00,33.890625
projectA_60307052_60306981,temperature,2026-06-02 08:06:32.667406+00:00,33.85456848144531
projectA_60307052_60306981,temperature,2026-06-02 08:06:34.780339+00:00,33.83654022216797
projectA_60307052_60306981,temperature,2026-06-02 08:06:36.767960+00:00,33.78245162963867
projectA_60307052_60306981,temperature,2026-06-02 08:06:38.812511+00:00,33.746395111083984
projectA_60307052_60306981,temperature,2026-06-02 08:06:40.785538+00:00,33.728363037109375
projectA_60307052_60306981,temperature,2026-06-02 08:06:44.546697+00:00,33.65625
projectA_60307052_60306981,temperature,2026-06-02 08:06:44.854436+00:00,33.60216522216797
projectA_60307052_60306981,temperature,2026-06-02 08:06:47.007440+00:00,33.58413314819336
projectA_60307052_60306981,temperature,2026-06-02 08:06:49.054424+00:00,33.566104888916016
projectA_60307052_60306981,temperature,2026-06-02 08:06:51.117318+00:00,33.54807662963867
projectA_60307052_60306981,temperature,2026-06-02 08:06:58.796766+00:00,33.493988037109375
projectA_60307052_60306981,temperature,2026-06-02 08:06:58.987272+00:00,33.45793151855469
projectA_60307052_60306981,temperature,2026-06-02 08:06:58.990943+00:00,33.439903259277344
projectA_60307052_60306981,temperature,2026-06-02 08:07:08.508848+00:00,33.34975814819336
projectA_60307052_60306981,temperature,2026-06-02 08:07:08.511221+00:00,33.36779022216797
projectA_60307052_60306981,temperature,2026-06-02 08:07:08.513383+00:00,33.331729888916016
projectA_60307052_60306981,temperature,2026-06-02 08:07:08.515588+00:00,33.277645111083984
projectA_60307052_60306981,temperature,2026-06-02 08:07:09.532772+00:00,33.29567337036133
projectA_60307052_60306981,temperature,2026-06-02 08:07:11.479751+00:00,33.277645111083984
projectA_60307052_60306981,temperature,2026-06-02 08:07:13.591758+00:00,33.24158477783203
projectA_60307052_60306981,temperature,2026-06-02 08:07:15.590464+00:00,33.205528259277344
projectA_60307052_60306981,temperature,2026-06-02 08:07:19.691913+00:00,33.15144348144531
projectA_60307052_60306981,temperature,2026-06-02 08:07:21.861591+00:00,33.169471740722656
projectA_60307052_60306981,temperature,2026-06-02 08:07:23.766169+00:00,33.13341522216797
projectA_60307052_60306981,temperature,2026-06-02 08:07:25.860668+00:00,33.11538314819336
projectA_60307052_60306981,temperature,2026-06-02 08:07:27.866574+00:00,33.097354888916016
projectA_60307052_60306981,temperature,2026-06-02 08:07:29.965028+00:00,33.06129837036133
projectA_60307052_60306981,temperature,2026-06-02 08:07:34.087235+00:00,33.043270111083984
projectA_60307052_60306981,temperature,2026-06-02 08:07:36.086254+00:00,33.025238037109375
projectA_60307052_60306981,temperature,2026-06-02 08:07:38.204442+00:00,32.98918151855469
projectA_60307052_60306981,temperature,2026-06-02 08:07:44.251933+00:00,32.971153259277344
projectA_60307052_60306981,temperature,2026-06-02 08:07:46.302659+00:00,32.935096740722656
projectA_60307052_60306981,temperature,2026-06-02 08:07:54.670274+00:00,32.89904022216797
projectA_60307052_60306981,temperature,2026-06-02 08:07:56.858487+00:00,32.88100814819336
projectA_60307052_60306981,temperature,2026-06-02 08:07:58.790301+00:00,32.862979888916016
projectA_60307052_60306981,temperature,2026-06-02 08:08:02.685631+00:00,32.82692337036133
projectA_60307052_60306981,temperature,2026-06-02 08:08:07.096910+00:00,32.808895111083984
projectA_60307052_60306981,temperature,2026-06-02 08:08:08.988197+00:00,32.790863037109375
